Well,HPU,deep_well
A5,Bhs,n
A6,E,n
A7,Typical,y
A8,E,n
D1,Bh,n
H4,Typical,y
I3,Bimodal,n
I6,Bimodal,n
I7,Bh,n
I8,Bh,n
I9,Bh,n
JD01,Riparian,n
JD02,Bh,n
JD03,Typical,n
JD04,Typical,n
JD05,Riparian,n
JD06,Riparian,n
JD07,Riparian,n
JD08,Riparian,n
JD09,Riparian,n
JD11,Typical,n
JD14,Bimodal,n
Jd15,Typical,n
JD16,Typical,n
JD19,Typical,n
JD20,Bh,n
JD20B,Riparian,n
JD20C,Riparian,n
JD21,Bh,n
JD22,Typical,n
JD23,Bimodal,n
JD24,Bimodal,n
JD25,Bh,n
JD26,Typical,n
JD27,Typical,n
JD28,Typical,n
K10,Bh,n
K11,Bh,n
K12,Bh,n
K1D,Bh,y
K1s,Bh,n
K4D,Bh,y
K4M,Bh,n
K4S,Bh,n
K5,Typical,y
K6D,Bh,y
K6S,Bh,n
K7D,Bh,y
K7S,Bh,n
K8,Bimodal,n
K9,Typical,n
N1,E,n
N2,Bhs,n
N3,E,n
N4,Bhs,n
N5,Bhs,y
O1,Bhs,n
O2,E,n
P1,E,n
P2,Bhs,n
Q1,E,n
Q2,Bhs,n
T1,Typical,y
T2,Typical,n
U1,E,n
U3,Bhs,n
