OBJECTID,Well,PipeHt,POINT_X,POINT_Y,Aspect,Slope,TWI
1,A5,95,-71.719336,43.957286,250.6202,19.20241,8.512402
2,A6,59,-71.718207,43.95712,209.594,23.49507,6.870433
3,A7,42.5,-71.720072,43.956216,146.4939,16.31004,7.001138
4,D1,126,-71.720253,43.958494,0.055854,8.392565,7.066465
5,H4,80,-71.722311,43.95921,271.8716,19.45316,5.091865
6,I3,84,-71.721555,43.957229,122.1654,14.01316,8.854575
7,I6,73,-71.721429,43.958524,214.5254,19.32456,6.315097
8,I7,118,-71.721481,43.958356,335.8863,14.29142,6.407555
9,I8,85.5,-71.721578,43.958273,330.1747,15.20137,7.173385
10,I9,105.5,-71.72172,43.958076,98.28732,13.37215,11.87792
11,JD01,61,-71.722227,43.95548,282.4708,9.98509,13.2781
12,JD02,94.5,-71.722081,43.955488,283.1502,13.4822,8.158693
13,JD03,63,-71.721795,43.955652,27.47291,15.91834,6.932925
14,JD04,86,-71.720793,43.955928,276.2515,18.93608,7.252051
15,JD05,90,-71.721715,43.956807,277.4821,11.45667,13.30638
16,JD06,87,-71.721062,43.957421,295.2478,13.61555,10.74475
17,JD07,105,-71.720693,43.958285,146.5381,13.06997,8.840976
18,JD08,56,-71.720695,43.958843,67.58829,11.03606,10.06669
19,JD09,85,-71.720298,43.959888,162.1471,12.6516,11.49947
20,JD10,77,-71.719815,43.961101,40.50439,5.664852,10.56805
21,JD11,38,-71.719676,43.961123,10.88845,3.963356,7.498131
22,JD12,77,-71.719845,43.961222,81.16856,4.941136,9.423461
23,JD13,95,-71.719956,43.961265,102.8452,6.745216,9.064123
24,JD14,90,-71.719117,43.959106,117.8924,11.04532,10.24243
25,JD15,63,-71.719174,43.959172,115.5979,17.29858,6.09759
26,JD16,70.5,-71.719231,43.959279,266.4464,18.17239,5.184435
27,JD17,90,-71.720542,43.957694,244.0642,13.04028,10.24392
28,JD18,94,-71.720387,43.957685,227.4221,15.9483,10.49658
29,JD19,62,-71.720264,43.957647,112.6852,13.60423,8.023506
30,JD21,71.5,-71.722157,43.959105,75.13106,17.60427,6.32792
31,JD20,104,-71.722013,43.959095,7.7084530000000004,14.49336,8.995154
32,JD22,58,-71.722306,43.959201,271.8716,19.45316,5.091865
33,JD23,95,-71.722135,43.957377,181.3232,15.73425,11.43221
34,JD24,85,-71.722255,43.957415,62.59898,16.05698,7.592145
35,JD25,77,-71.722367,43.957462,182.3426,16.0677,5.945551
36,JD26,91,-71.722503,43.957481,164.8819,16.38727,5.462302
37,JD27,106,-71.721075,43.95576,103.763,15.89384,9.118409
38,JD28,85,-71.720246,43.956094,63.14916,15.34214,8.661406
39,JD29,103,-71.722146,43.957404,181.3232,15.73425,11.43221
40,JD30,152.5,-71.722549,43.958502,66.90176,18.19568,10.52289
41,JD31,127,-71.722957,43.959627,44.16426,15.90977,9.961919
42,K1D,60,-71.721144,43.960426,41.9966,10.49555,8.579244
43,K10,14,-71.721405,43.960938,107.5686,15.42309,9.299693
44,K11,30,-71.72123,43.960438,95.93063,11.83881,7.503375
45,K1,113,-71.721126,43.960453,41.9966,10.49555,8.579244
46,K4S,100.7,-71.721399,43.960911,107.5686,15.42309,9.299693
47,K4M,82,-71.721399,43.960911,107.5686,15.42309,9.299693
48,K4D,57.5,-71.721399,43.960911,107.5686,15.42309,9.299693
49,K5,8,-71.721213,43.960852,335.962,17.10277,6.145198
50,K6S,105.5,-71.721128,43.960624,173.1822,13.8032,9.144934
51,K6D,55,-71.721128,43.960624,173.1822,13.8032,9.144934
52,K7S,120.5,-71.721179,43.960736,182.5278,17.31378,6.819549
53,K7D,63,-71.721179,43.960736,182.5278,17.31378,6.819549
54,K8,59.5,-71.721184,43.96079,271.106,17.67573,7.099288
55,K9,75,-71.721391,43.96105,7.72805,15.68309,8.487987
56,N1,109.5,-71.721592,43.961698,145.2367,15.16029,6.146905
57,N2,77,-71.721473,43.961638,119.8522,11.36256,6.38211
58,N3,94.5,-71.721536,43.961731,146.6742,15.35247,7.657502
59,N4,80,-71.721544,43.961704,145.2367,15.16029,6.146905
60,N5,33.8,-71.721439,43.961616,48.8008,10.21293,6.70687
61,O1,110,-71.718492,43.958684,344.6115,14.46491,7.612089
62,O2,123.4,-71.718453,43.958676,286.0094,15.75498,7.579112
63,P1,148.7,-71.724085,43.960009,93.32619,28.42197,6.410476
64,P2,117.6,-71.724043,43.95997,95.46733,26.07495,6.561232
65,Q1,108.5,-71.718327,43.95962,250.5941,14.4535,6.433098
66,Q2,123.5,-71.718387,43.959564,240.4455,11.85041,6.60726
67,T1,123.5,-71.723225,43.957594,46.81863,17.1937,6.267366
